"filename", "language", "JSON", "Markdown", "JSON with Comments", "PostCSS", "TypeScript", "SCSS", "HTML", "JavaScript", "comment", "blank", "total"
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\app.html", "HTML", 0, 0, 0, 0, 0, 0, 298, 0, 15, 30, 343
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\app.routes.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 2, 22
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\app.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\app.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\formulario-taller\gestionar-taller.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\formulario-taller\gestionar-taller.component.html", "HTML", 0, 0, 0, 0, 0, 0, 158, 0, 3, 5, 166
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\formulario-taller\gestionar-taller.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\formulario-taller\gestionar-taller.component.ts", "TypeScript", 0, 0, 0, 0, 191, 0, 0, 0, 0, 25, 216
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\generador-documentos\generador-documentos.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\generador-documentos\generador-documentos.component.html", "HTML", 0, 0, 0, 0, 0, 0, 210, 0, 7, 15, 232
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\generador-documentos\generador-documentos.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\generador-documentos\generador-documentos.component.ts", "TypeScript", 0, 0, 0, 0, 155, 0, 0, 0, 1, 27, 183
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\generadores\certificado-final-obra.ts", "TypeScript", 0, 0, 0, 0, 1127, 0, 0, 0, 28, 71, 1226
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\generadores\certificado-taller.ts", "TypeScript", 0, 0, 0, 0, 183, 0, 0, 0, 2, 18, 203
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\generadores\declaracion-responsable.ts", "TypeScript", 0, 0, 0, 0, 236, 0, 0, 0, 39, 42, 317
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\generadores\memoria-tecnica.ts", "TypeScript", 0, 0, 0, 0, 3245, 0, 0, 0, 71, 117, 3433
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\generadores\proyecto-word.ts", "TypeScript", 0, 0, 0, 0, 4701, 0, 0, 0, 93, 189, 4983
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\gestionar-ingeniero\gestionar-ingeniero.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\gestionar-ingeniero\gestionar-ingeniero.component.html", "HTML", 0, 0, 0, 0, 0, 0, 159, 0, 3, 5, 167
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\gestionar-ingeniero\gestionar-ingeniero.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\gestionar-ingeniero\gestionar-ingeniero.component.ts", "TypeScript", 0, 0, 0, 0, 216, 0, 0, 0, 0, 26, 242
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\interfaces\modificacion.ts", "TypeScript", 0, 0, 0, 0, 478, 0, 0, 0, 0, 17, 495
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\canva\canva.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\canva\canva.component.html", "HTML", 0, 0, 0, 0, 0, 0, 119, 0, 4, 5, 128
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\canva\canva.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\canva\canva.component.ts", "TypeScript", 0, 0, 0, 0, 295, 0, 0, 0, 26, 54, 375
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\cocheono\cocheono.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\cocheono\cocheono.component.html", "HTML", 0, 0, 0, 0, 0, 0, 90, 0, 1, 8, 99
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\cocheono\cocheono.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\cocheono\cocheono.component.ts", "TypeScript", 0, 0, 0, 0, 68, 0, 0, 0, 13, 16, 97
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\crear-reforma\crear-reforma.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\crear-reforma\crear-reforma.component.html", "HTML", 0, 0, 0, 0, 0, 0, 99, 0, 2, 4, 105
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\crear-reforma\crear-reforma.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\crear-reforma\crear-reforma.component.ts", "TypeScript", 0, 0, 0, 0, 739, 0, 0, 0, 47, 100, 886
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\editar-reforma\editar-reforma.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\editar-reforma\editar-reforma.component.html", "HTML", 0, 0, 0, 0, 0, 0, 119, 0, 3, 7, 129
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\editar-reforma\editar-reforma.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\editar-reforma\editar-reforma.component.ts", "TypeScript", 0, 0, 0, 0, 109, 0, 0, 0, 3, 20, 132
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\formulario-proyecto\formulario-proyecto.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\formulario-proyecto\formulario-proyecto.component.html", "HTML", 0, 0, 0, 0, 0, 0, 556, 0, 7, 28, 591
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\formulario-proyecto\formulario-proyecto.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\formulario-proyecto\formulario-proyecto.component.ts", "TypeScript", 0, 0, 0, 0, 360, 0, 0, 0, 5, 49, 414
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\home\home.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\home\home.component.html", "HTML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\home\home.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\home\home.component.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\imagenes\imagenes.component.css", "PostCSS", 0, 0, 0, 27, 0, 0, 0, 0, 4, 4, 35
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\imagenes\imagenes.component.html", "HTML", 0, 0, 0, 0, 0, 0, 133, 0, 5, 10, 148
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\imagenes\imagenes.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\imagenes\imagenes.component.ts", "TypeScript", 0, 0, 0, 0, 243, 0, 0, 0, 6, 34, 283
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\mostrar-secciones\mostrar-secciones.component.css", "PostCSS", 0, 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\mostrar-secciones\mostrar-secciones.component.html", "HTML", 0, 0, 0, 0, 0, 0, 40, 0, 0, 1, 41
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\pages\mostrar-secciones\mostrar-secciones.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
