"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "HTML", "PostCSS", "SCSS", "comment", "blank", "total"
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\imagenes\imagenes.component.html", "HTML", 0, 0, 0, 0, 119, 0, 0, 2, 7, 128
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\imagenes\imagenes.component.ts", "TypeScript", 0, 0, 278, 0, 0, 0, 0, -2, 18, 294
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\resumen-modificaciones\resumen-modificaciones.component.html", "HTML", 0, 0, 0, 0, -3368, 0, 0, -117, -120, -3605
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\resumen-modificaciones\resumen-modificaciones.component.ts", "TypeScript", 0, 0, 226, 0, 0, 0, 0, 19, 26, 271
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-clientes\src\app\pages\tipo-vehiculo\tipo-vehiculo.component.ts", "TypeScript", 0, 0, -13, 0, 0, 0, 0, -1, 0, -14
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\Funciones\buildModificacionesParagraphs.ts", "TypeScript", 0, 0, 2088, 0, 0, 0, 0, 237, 301, 2626
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\Funciones\calculos.ts", "TypeScript", 0, 0, 4975, 0, 0, 0, 0, 166, 273, 5414
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\app.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\app.component.html", "HTML", 0, 0, 0, 0, 51, 0, 0, 5, 7, 63
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\app.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\app.component.spec.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 5, 30
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\app.component.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\app.config.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\app.html", "HTML", 0, 0, 0, 0, 298, 0, 0, 15, 30, 343
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\app.routes.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\app.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 4, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\app.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\formulario-taller\gestionar-taller.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\formulario-taller\gestionar-taller.component.html", "HTML", 0, 0, 0, 0, 158, 0, 0, 3, 5, 166
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\formulario-taller\gestionar-taller.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\formulario-taller\gestionar-taller.component.ts", "TypeScript", 0, 0, 191, 0, 0, 0, 0, 0, 25, 216
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\generador-documentos\generador-documentos.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\generador-documentos\generador-documentos.component.html", "HTML", 0, 0, 0, 0, 210, 0, 0, 7, 15, 232
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\generador-documentos\generador-documentos.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\ProyectoVehiculos\ProyectoReformasVehiculos\reformas-app\projects\reformas-test\src\app\generador-documentos\generador-documentos.component.ts", "TypeScript", 0, 0, 155, 0, 0, 0, 0, 1, 27, 183
